userId,genre
1,Drama
2,Drama
3,Action
4,Action
5,Comedy
6,Drama
7,Drama
8,Drama
9,Drama
10,Thriller
11,Drama
12,Comedy
13,Action
14,Drama
15,Comedy
16,Drama
17,Action
18,Action
19,Drama
20,Action
21,Action
22,Adventure
23,Drama
24,Thriller
25,Drama
26,Thriller
27,Drama
28,Sci-Fi
29,Drama
30,Comedy
31,Drama
32,Thriller
33,Drama
34,Drama
35,Drama
36,Drama
37,Drama
38,Drama
39,Drama
40,Drama
41,Action
42,Thriller
43,Drama
44,Action
45,Drama
46,Drama
47,Drama
48,Comedy
49,Comedy
50,Drama
51,Drama
52,Drama
53,Comedy
54,Action
55,Drama
56,Action
57,Comedy
58,Drama
59,Drama
60,Drama
61,Comedy
62,Drama
63,Comedy
64,Adventure
65,Action
66,Comedy
67,Children
68,Drama
69,Action
70,Drama
71,Action
72,Drama
73,Drama
74,Adventure
75,Drama
76,Comedy
77,Comedy
78,Drama
79,Comedy
80,Action
81,Drama
82,Drama
83,Drama
84,Drama
85,Comedy
86,Comedy
87,Sci-Fi
88,Action
89,Drama
90,Drama
91,Drama
92,Drama
93,Comedy
94,Thriller
95,Drama
96,Action
97,Action
98,Comedy
99,Drama
100,Drama
101,Drama
102,Comedy
103,Thriller
104,Action
105,Drama
106,Drama
107,Drama
108,Action
109,Drama
110,Drama
111,Adventure
112,Drama
113,Drama
114,Comedy
115,Drama
116,Action
117,Romance
118,Drama
119,Drama
120,Drama
121,Drama
122,Drama
123,Action
124,Drama
125,Comedy
126,Drama
127,Drama
128,Action
129,Comedy
130,Comedy
131,Drama
132,Drama
133,Drama
134,Action
135,Action
136,Drama
137,Drama
138,Comedy
139,Drama
140,Action
141,Drama
142,Action
143,Comedy
144,Drama
145,Comedy
146,Adventure
147,Drama
148,Drama
149,Action
150,Drama
151,Action
152,Drama
153,Action
154,Action
155,Drama
156,Drama
157,Drama
158,Drama
159,Comedy
160,Action
161,Comedy
162,Children
163,Action
164,Drama
165,Drama
166,Drama
167,Drama
168,Action
169,Drama
170,Drama
171,Drama
172,Drama
173,Adventure
174,Drama
175,Drama
176,Comedy
177,Action
178,Drama
179,Drama
180,Action
181,Action
182,Comedy
183,Comedy
184,Comedy
185,Drama
186,Adventure
187,Comedy
188,Action
189,Drama
190,Drama
191,Action
192,Drama
193,Drama
194,Drama
195,Action
196,Drama
197,Drama
198,Comedy
199,Comedy
200,Adventure
201,Drama
202,Thriller
203,Sci-Fi
204,Action
205,Thriller
206,Drama
207,Drama
208,Action
209,Action
210,Drama
211,Comedy
212,Comedy
213,Drama
214,Thriller
215,Romance
216,Drama
217,Drama
218,Action
219,Comedy
220,Thriller
221,Comedy
222,Comedy
223,Comedy
224,Action
225,Thriller
226,Drama
227,Drama
228,Drama
229,Comedy
230,Drama
231,Drama
232,Drama
233,Action
234,Drama
235,Adventure
236,Comedy
237,Drama
238,Drama
239,Drama
240,Action
241,Drama
242,Drama
243,Drama
244,Comedy
245,Action
246,Drama
247,Drama
248,Action
249,Drama
250,Action
251,Drama
252,Action
253,Action
254,Drama
255,Drama
256,Drama
257,Drama
258,Action
259,Comedy
260,Drama
261,Thriller
262,Thriller
263,Comedy
264,Comedy
265,Adventure
266,Drama
267,Drama
268,Action
269,Adventure
270,Action
271,Drama
272,Crime
273,Drama
274,Drama
275,Action
276,Drama
277,Comedy
278,Drama
279,Comedy
280,Comedy
281,Drama
282,Animation
283,Sci-Fi
284,Drama
285,Drama
